level_3rd,skill_type,tags
GIS工程师,软件开发工具,3D引擎|_|ArcCatalog|_|ArcEngine|_|ArcGIS|_|ArcMap|_|Cesium|_|CesiumJS|_|ENVI|_|Erdas|_|GDAL|_|GeoMesa|_|GeoTools|_|MapGIS|_|Mapbox|_|OSGEarth|_|OpenGIS|_|OpenGL|_|QGIS|_|SuperMap|_|WebGL|_|uDig
Golang,后端框架,Beego|_|Gin|_|gRPC
Golang,技术类型,Socket技术|_|分布式技术|_|多线程|_|多进程|_|容器技术|_|微服务架构|_|数据结构|_|消息队列|_|网络协议|_|网络编程
Golang,数据库类型,MySQL|_|Redis
Golang,系统类型,Linux|_|Unix
Golang,计算机语言方向,C/C++|_|Java|_|PHP|_|Perl|_|Python|_|Shell
Golang,软件开发方向,后端开发|_|服务端开发
Golang,运维工具,Docker|_|K8S|_|Kubernetes
HRBP-HRM,HRBP支持团队,技术团队HRBP|_|销售团队HRBP
HRBP-HRM,人事方向,人力资源规划|_|员工关系|_|培训开发|_|招聘配置|_|组织发展|_|绩效管理|_|薪酬福利
HRBP-HRM,资格证书,人力资源管理师一级|_|人力资源管理师三级|_|人力资源管理师二级|_|人力资源管理师四级
HR培训讲师,人事方向,人力资源规划|_|人才测评|_|企业文化|_|员工关系|_|培训开发|_|招聘配置|_|绩效管理|_|薪酬福利
HR培训讲师,授课方式,一对一授课|_|线上授课|_|线下授课|_|集体授课
HR培训讲师,教师类型,助教|_|培训师|_|教研
HTML5,前端框架,Angular|_|AngularJS|_|Avalon|_|Bootstrap|_|Dojo|_|Ember.js|_|ExtJS|_|JQuery|_|Native.js|_|React|_|React.JS|_|RequireJS|_|Vue|_|weex
HTML5,计算机语言方向,CSS|_|CSS3|_|HTML|_|HTML5|_|JavaScript|_|SQL
Hadoop,ETL工具,DataX|_|Kettle
Hadoop,Hadoop组件/工具,Azkaban|_|Flink|_|Flume|_|HDFS|_|Hbase|_|Impala|_|Kafka|_|Kerberos|_|Kylin|_|MapReduce|_|Oozie|_|Presto|_|Spark|_|Sqoop|_|Storm|_|Streaming|_|Yarn
Hadoop,技术工作内容,大数据分析|_|大数据开发|_|数仓建模|_|数据中台|_|数据建模|_|数据架构|_|数据清洗|_|数据迁移|_|数据运维|_|数据集市|_|架构设计|_|离线计算
Hadoop,数据库类型,Kudu|_|MySQL|_|NoSQL|_|Redis|_|SparkSQL
Hadoop,数据职能,ETL|_|数据仓库|_|数据挖掘|_|数据治理|_|数据采集
Hadoop,计算机语言方向,Java|_|Python|_|SQL|_|Scala
Helpdesk,技术工作内容,AWS|_|AWS|_|CRM系统运维|_|CRM系统运维|_|EBS系统运维|_|EBS系统运维|_|ERP运维|_|ERP运维|_|IDC运维|_|IDC运维|_|ITIL流程管理|_|ITIL流程管理|_|MES运维|_|MES运维|_|业务运维|_|业务运维|_|中间件运维|_|中间件运维|_|云平台运维|_|云平台运维|_|信息安全运维|_|信息安全运维|_|实施运维|_|实施运维|_|持续集成|_|持续集成|_|故障监控|_|故障监控|_|服务器运维|_|服务器运维|_|深度学习平台运维|_|深度学习平台运维|_|设备运维|_|设备运维|_|配置管理|_|配置管理
Helpdesk,数据库类型,DB2|_|DB2|_|MongoDB|_|MongoDB|_|MySQL|_|MySQL|_|NoSQL|_|NoSQL|_|Oracle|_|Oracle|_|PostgreSQL|_|PostgreSQL|_|Redis|_|Redis|_|SQL Server|_|SQL Server
Helpdesk,系统类型,AIX|_|AIX|_|Linux|_|Linux|_|Unix|_|Unix|_|Windows|_|Windows
Helpdesk,网络协议,HTTPS协议|_|HTTPS协议|_|HTTP协议|_|HTTP协议|_|IP协议|_|IP协议|_|TCP协议|_|TCP协议
Helpdesk,计算机语言方向,C|_|C|_|C++|_|C++|_|Golang|_|Golang|_|Java|_|Java|_|PHP|_|PHP|_|Python|_|Python|_|SQL|_|SQL|_|Shell|_|Shell
Helpdesk,资格证书,CCNP|_|CCNP|_|OCM|_|OCM|_|RHCA|_|RHCA|_|RHCE|_|RHCE|_|RHCSA|_|RHCSA
Helpdesk,软件开发工具,Jenkins|_|Jenkins|_|SVN|_|SVN
Helpdesk,运维工具,Ansible|_|Ansible|_|Apache|_|Apache|_|CDN|_|CDN|_|CI/CD|_|CI/CD|_|Centos|_|Centos|_|DevOps|_|DevOps|_|Docker|_|Docker|_|ELK|_|ELK|_|K8S|_|K8S|_|KVM|_|KVM|_|Nginx|_|Nginx|_|Redhat|_|Redhat|_|Tomcat|_|Tomcat|_|VMware|_|VMware|_|Weblogic|_|Weblogic|_|Zabbix|_|Zabbix
Helpdesk,运维方向,SRE|_|SRE|_|大数据运维|_|大数据运维|_|存储运维|_|存储运维|_|安全运维|_|安全运维|_|应用运维|_|应用运维|_|数据库运维|_|数据库运维|_|机房运维|_|机房运维|_|桌面运维|_|桌面运维|_|系统运维|_|系统运维|_|自动化运维|_|自动化运维|_|虚拟化运维|_|虚拟化运维|_|集群运维|_|集群运维
ICU医生,医生护士职称,临床执业医师证|_|公共执业助理医师证|_|公共执业医师证|_|助理医师证|_|执业医师证
ICU医生,医生职能,儿科医生|_|内科医生|_|外科医生|_|妇科医生|_|急诊医生|_|检验科医师|_|皮肤科医生|_|眼科医生|_|骨科医生
IC验证工程师,系统类型,Linux|_|Unix
IC验证工程师,计算机语言方向,Perl|_|Python|_|Shell|_|TCL
IC验证工程师,设计软件,CAD
IT咨询顾问,咨询方向,IT咨询
IT咨询顾问,资格证书,CISM|_|CISSP
IT培训,培训内容,.NET|_|AR/VR|_|Android|_|C/C++|_|Golang|_|Java|_|Linux|_|NLP|_|PHP|_|Python|_|UE培训|_|UI培训|_|Unity 3D|_|iOS|_|云计算|_|产品经理|_|人工智能|_|前端培训|_|区块链|_|单片机|_|大数据|_|数据分析|_|机器人培训|_|机器学习|_|游戏设计|_|物联网|_|电商运营|_|网络营销|_|网络运维|_|网页设计|_|软件测试
IT培训,授课方式,线上教育|_|线下教育
IT培训,教师类型,助教|_|授课老师|_|教学管理|_|教研
IT工程师,技术工作内容,Helpdesk|_|IT设备维护|_|IT资产管理|_|OA流程管理|_|OA系统运维|_|云计算技术支持|_|信息化系统技术支持|_|售前技术支持|_|售后技术支持|_|多媒体技术支持|_|服务器技术支持|_|网络技术支持|_|软件技术支持|_|软硬件维护|_|运维技术支持|_|远程技术支持|_|音视频技术支持
IT工程师,数据库类型,DB2|_|MySQL|_|Oracle|_|PostgreSQL|_|SQL Server
IT工程师,系统类型,AIX|_|Linux|_|MacOS|_|Unix|_|Windows
IT工程师,网络设备,交换机|_|路由器|_|防火墙
IT工程师,计算机语言方向,Python|_|SQL|_|Shell
IT工程师,运维方向,机房运维|_|桌面运维
IT技术支持,技术工作内容,Helpdesk|_|IT设备维护|_|IT资产管理|_|OA流程管理|_|OA系统运维|_|云计算技术支持|_|信息化系统技术支持|_|售前技术支持|_|售后技术支持|_|多媒体技术支持|_|服务器技术支持|_|网络技术支持|_|软件技术支持|_|软硬件维护|_|运维技术支持|_|远程技术支持|_|音视频技术支持
IT技术支持,数据库类型,DB2|_|MySQL|_|Oracle|_|PostgreSQL|_|SQL Server
IT技术支持,系统类型,AIX|_|Linux|_|MacOS|_|Unix|_|Windows
IT技术支持,网络设备,交换机|_|路由器|_|防火墙
IT技术支持,计算机语言方向,Python|_|SQL|_|Shell
IT技术支持,运维方向,机房运维|_|桌面运维
IT文档工程师,技术工作内容,Helpdesk|_|IT设备维护|_|IT资产管理|_|OA流程管理|_|OA系统运维|_|云计算技术支持|_|信息化系统技术支持|_|售前技术支持|_|售后技术支持|_|多媒体技术支持|_|服务器技术支持|_|网络技术支持|_|软件技术支持|_|软硬件维护|_|运维技术支持|_|远程技术支持|_|音视频技术支持
IT文档工程师,数据库类型,DB2|_|MySQL|_|Oracle|_|PostgreSQL|_|SQL Server
IT文档工程师,系统类型,AIX|_|Linux|_|MacOS|_|Unix|_|Windows
IT文档工程师,网络设备,交换机|_|路由器|_|防火墙
IT文档工程师,计算机语言方向,Python|_|SQL|_|Shell
IT文档工程师,运维方向,机房运维|_|桌面运维
IT质量管理工程师,技术工作内容,Helpdesk|_|IT设备维护|_|IT资产管理|_|OA流程管理|_|OA系统运维|_|云计算技术支持|_|信息化系统技术支持|_|售前技术支持|_|售后技术支持|_|多媒体技术支持|_|服务器技术支持|_|网络技术支持|_|软件技术支持|_|软硬件维护|_|运维技术支持|_|远程技术支持|_|音视频技术支持
IT质量管理工程师,数据库类型,DB2|_|MySQL|_|Oracle|_|PostgreSQL|_|SQL Server
IT质量管理工程师,系统类型,AIX|_|Linux|_|MacOS|_|Unix|_|Windows
IT质量管理工程师,网络设备,交换机|_|路由器|_|防火墙
IT质量管理工程师,计算机语言方向,Python|_|SQL|_|Shell
IT质量管理工程师,运维方向,机房运维|_|桌面运维
IT项目总监,证书/职称,PMP项目管理认证
